,,AuroraBorealis,CrimsonBlade,ShadowWalker,MysticDreamer,SilentAssassin,LunarEclipse,OceanSoul,EmeraldEyes,CelestialSiren,ThunderClap,MysticGoddess,IceQueen,GalacticWarrior,EnigmaGamer,GoldenGoddess,RubyKnight,SilverSamurai,ShadowPhoenix,CelestialWarrior,Dragonborn,PhantomReaper,FrostyNinja,StormyKnight,SkyDragoness,ObsidianKnight,MysticSamurai,ThunderousShadow,FlamePhoenix,EmeraldEnigma,InfernoKnight,ShadowShifter,CrystalGuardian
Thermite,2,111506265,105200824,106735543,69440252,277674705,90061889,170588920,151496358,24388608,270892643,196784872,36220938,55854710,65183316,153030131,48969383,162948684,53368348,132397140,134502978,78545149,50724499,120109942,76706502,4842957,37906597,14651190,40767534,43060949,5549690,10131230,7438287
Loud_Mouth,2,245632896,238654347,140623614,357273590,133058882,202869360,129969120,215228980,205332292,136807932,92922293,26520927,165598605,213634307,18477342,162759598,177083576,113659742,90883882,142556115,77099013,103904835,58540616,26979379,16641565,7261376,14552362,23088738,7278607,14752528,11306326,7858818
Black_Smith,2,240337421,193106328,43225281,86403313,200050007,65322626,313825825,207687277,25366035,82661755,57961345,175791489,153997491,133785613,4415477,109515035,13356750,110621475,6503355,154050891,1710150,10166791,62037373,63594740,98318366,63183569,28620937,23283457,43937751,29645806,10795575,3007973
Plate,2,132633803,98749561,336990243,93895963,229657478,228474486,84696283,193491598,257960687,68831374,225339698,248722149,185491365,208558505,179931017,20371072,168799911,171779751,22365336,83321510,141382564,47234551,6518669,49343604,28535849,53218013,21795698,44091692,36538808,21050187,3732320,884809
Modernia,2,86621785,211785880,162346224,235516347,164092600,37823496,310664310,272988998,99559897,144059675,164616807,76018860,22841324,68610117,106156072,39117704,87816276,75573517,21444570,84450686,99619011,95613500,115593756,93942990,40043164,53379683,12585704,34913480,35298462,6897347,10872855,4023483
Thermite,3,220629392,62273189,225236351,159437593,58897864,82086089,151848578,204530543,214783486,102494993,221463664,86548787,216960153,87449724,23466383,160560900,155072235,82202263,107815900,110433881,44892150,59189809,6062472,74056581,8070754,6941684,3867104,26955745,26596353,13659113,5676814,4327444
Loud_Mouth,3,70182727,151026455,109497029,202235404,109253689,70130872,1155609,96773615,35729291,225115758,147737009,39977761,46330551,198981106,69221792,13726990,15434344,65884331,136622333,48615899,108924060,67099294,11644273,70757440,71310009,41418267,34666027,5279871,5155742,20071942,21382055,2181700
Black_Smith,3,286473562,326361083,30854626,242395862,288356622,228133184,160131154,250368643,14934537,206128715,42997419,199797295,53830368,35111944,110584161,50928467,19373247,160402275,69669967,92771654,121299493,15138917,22566066,68272335,25850041,19163193,16034296,50257823,17224722,28486094,16254762,7237118
Plate,3,295139127,237366547,158381730,50227649,109083497,279052323,19913853,161280087,236954638,85677967,79842807,207001482,165514991,26160473,122838558,113218746,39083458,114199474,81472643,95149265,32327220,113919504,79499732,53323013,80087860,20622466,48043192,28356999,17202510,27756014,15963882,5140435
Modernia,3,136104250,130498066,159977058,187012065,251409950,52537133,218390799,89681697,196464572,89701769,32336433,148765755,84772880,84237168,178469238,65278756,35618119,99299300,128280770,118794687,8865215,119571131,105171892,4766321,26857789,8214905,7954057,41507154,16379928,20106198,2479324,9786599
Thermite,4,194061854,230693978,168070024,66841832,51376132,36631265,135116750,154375688,201185688,154353598,192316863,90640761,175392542,111662988,39493762,139034932,131543234,9291215,67751400,58401281,59270757,4808272,21482520,3114414,72712642,35094634,19505891,32416662,1215564,14609298,15076514,4344995
Loud_Mouth,4,9940660,259585316,239656803,161041035,260219482,112659217,32188147,150202718,81551584,139103994,74147947,105847399,9994503,40549685,118342453,66571720,144641895,66077016,123893561,59965642,10004016,11859010,49743203,77373783,42138872,15883006,53115453,11457194,26213055,23610882,15512691,6892290
Black_Smith,4,127931721,204946604,188663558,79493229,104456040,182674887,17019017,29781531,215903159,201781719,193559413,31699281,72316785,123731218,95467187,125811082,80936116,83231586,82165360,86934412,85390389,45060995,85296649,48239921,972655,63563190,43741926,43711098,2981790,1374001,16779039,5607506
Plate,4,294498246,97988656,147465345,85435188,169764639,249857791,94840335,1722179,193647133,187181990,13709522,13894375,47580931,105367206,35706100,137379835,1827772,89138543,130762467,86566507,103957220,48828307,78843347,3186682,51418714,40024049,8982547,28707467,29914354,20979644,13211190,6673538
Modernia,4,273103831,80608341,112263287,52571472,192052630,97950564,64152961,231680332,195327965,209893000,56991929,154942211,87012961,47637159,81341570,123767317,81430127,139304278,100655242,42238290,83476041,12063384,16029533,58401620,35093498,54586023,15165436,17835006,26388138,10251009,3514901,9338990
Thermite,5,232156038,15150147,206364913,137383489,119738251,81083,135705478,165012333,102015772,135491985,150948493,53221835,75959045,96916984,102271154,122826860,101195048,104752287,93756524,57697670,75233732,32947823,64451127,44190360,18763541,1674061,17569342,32999932,30040962,18257089,11204171,4896035
Loud_Mouth,5,62229910,219453192,51110066,193904096,85805678,159521344,85538265,74684062,105402055,32952756,154585539,120604835,137803804,81009873,26047583,114194125,106407310,3787260,62265098,80365641,16337179,46638830,44998649,44697599,62403370,12806664,21284535,1587858,24729083,22137974,3973472,5656003
Black_Smith,5,178772303,79808964,175001715,78074818,18372319,103268155,83844750,146472817,148771194,161587584,11600227,95763581,146904462,79976314,126500950,102120530,104075120,94492045,4646800,92226507,44581233,56137838,28897558,1064803,13944873,11586921,18524658,31268246,25791273,9254576,6403537,4725024
Plate,5,202434437,142063362,166325528,19651006,217377109,35184059,43036136,170906939,33877771,55165712,78421075,113792624,109727366,124029179,122028417,71676373,119732672,109009422,59464964,90204737,44655440,53123894,68780469,63960790,13115145,44236768,784281,19082123,11422408,16642561,11643907,5505482
Modernia,5,106657824,124434046,175482788,150342357,169259651,110451970,105306021,136420852,29723097,45872765,127589595,65598497,63066838,31528290,73825854,76288519,6286123,101906696,61624192,65753935,83812717,5370588,6930923,55842010,59814634,34191950,24008979,35632963,843541,1181998,9552317,6371278
Thermite,6,194593486,168616659,35858079,124667194,9022485,119117435,136899431,111846107,121470372,130723681,11971331,120094863,30342089,109736653,63587072,99795388,72291714,63353770,52429431,40175470,42492613,39345507,10894095,41193659,30808604,38040512,26595535,23318956,6521965,9448944,11845762,2795348
Loud_Mouth,6,84275946,82498138,116786700,29246338,80017650,113265164,67895587,55033452,148863723,124438441,44777429,106719435,55967380,110819606,23790132,51337839,26668834,54115542,64169067,59118924,55677317,40382558,17473304,23353639,25108570,11804129,26735711,13441198,15236963,18653662,6485932,1094080
Black_Smith,6,26020472,19527000,151995175,56673316,170403519,61040369,150825128,56444809,71544492,129075833,4921716,22360168,57667607,8344880,90345656,34442771,29895185,3902589,13871411,23068455,8611682,39546990,2992039,51115074,25210658,33986928,4766553,9284046,15268283,13236336,6220782,3316692
Plate,6,42323319,112745494,153669437,35068506,127176556,14955921,12116673,96742384,102076359,19968342,23029274,125085231,64841791,7623318,81386035,105369640,94592137,49097064,62635345,58305446,62199396,57075148,21184383,47420344,5873342,31031808,25503567,28818993,10894432,9645468,7954671,1444244
Modernia,6,57073981,182161644,175737546,151648724,121718034,30104181,34222231,123895804,7001697,143039730,114927923,111858744,124846406,71664834,88638803,28255505,69017125,6574756,53664225,2353543,61054185,33590350,20187770,51717469,35171515,40637299,27717437,17983821,8807296,362597,9991871,1700356
Thermite,7,114080148,29177105,29876063,129684913,122838652,115722357,72813059,60257869,60131834,16874602,71473593,97371630,31351687,1453980,64952372,22363405,54649410,46225364,55688450,8048781,11067539,38311956,12756666,33812051,10779047,1672003,15587800,599453,10851414,8815937,356584,3869184
Loud_Mouth,7,82759920,14052076,47614497,80996870,29425366,107566887,25438621,24809161,8953092,106228096,41959889,28797900,28775129,44696478,5184223,69098627,24209524,6581042,64592378,41488876,44055601,13061404,42239116,16387276,28807855,30657692,25154882,6477930,1663167,6506283,1420671,2806218
Black_Smith,7,80379402,120915947,72152303,7509264,69158410,47044420,83279113,20728412,76774756,36236966,71487536,25604377,28251175,37432577,35142742,64056214,53062179,1382425,35470636,52719186,46663490,47087729,17972418,38742359,18179914,325576,9357589,20984347,12434583,1114595,5721690,4125461
Plate,7,21351588,92610140,29832815,62083050,42107502,96118288,67672286,78995828,80142175,66117508,4795196,86685769,93378162,38873968,38365273,56206625,14582468,45793250,57092160,57841810,50150395,30980479,28505040,18667986,14006804,29532312,7678213,21365483,14038950,3664812,335182,3393616
Modernia,7,25667596,45771102,260240,63637197,67278061,107791393,10369625,96625876,48475213,43155620,4643893,6350124,88979731,70574451,33426942,31192486,45067752,18469429,31155739,58606221,25986745,46687429,14417561,37929411,15028281,29985541,25727000,9715800,4361508,3642297,5014381,1236831
Thermite,8,39721543,68513093,20885996,11545531,69260132,17138411,57496025,10187560,26259587,22224325,2040820,42769859,13669652,53010382,43469784,22213884,43921864,36779729,28513336,20069560,29892397,12601058,8531200,12449360,4814087,19121456,1713612,779214,7478900,6771183,4633456,1095898
Loud_Mouth,8,28480819,3563796,10923905,66141741,17624627,9783068,24372297,21318818,1880501,57291432,42158676,51593473,20283738,2890728,16473585,26435511,4257198,38640895,7241048,13636194,12601665,26682622,355022,7456929,12612046,12126163,12542580,601637,9691209,6878312,6054695,1340361
Black_Smith,8,72406107,95649018,15358584,14786177,2494871,63913960,24258702,16078064,73655156,29939359,39559903,30439603,29461457,23901047,25342386,37025947,26850273,9139409,25659617,32246509,12361824,28532333,28002110,7746563,7843259,20082716,4562444,6283419,6598399,1470572,562917,1352391
Plate,8,12265276,63744816,5118681,63468876,13922347,42372414,18602419,42174848,68816105,36664467,53379562,30292494,35717398,29276644,18277985,21402652,14042208,33496093,31967700,18093786,21235559,18432025,16007209,3366777,13268471,5609943,16050148,9944841,607722,3194329,3974797,138182
Modernia,8,90400799,42017378,92268897,71278603,56333835,65641247,20975170,25905206,34681354,46305360,1519900,57604387,59507223,20285478,35722243,29833416,2210940,43153716,41195511,39723396,34171135,18695045,26365231,11519180,17132157,20307696,14689251,1362886,3995733,1442362,3167049,519306
Thermite,9,40427909,12567785,24146956,4031727,27938903,23999707,39977831,14134598,33544921,13612545,11747057,26659705,8369525,137540,7774706,8584390,24477541,2207433,975095,17317575,11479887,7448310,11416217,13409418,4085513,4502010,7804048,4450199,4669621,2602113,1611022,148520
Loud_Mouth,9,25140140,13065344,10705798,13348738,10366603,29234160,36693269,19329717,482549,6869328,31966772,23599983,15223285,21351210,22812187,14183321,13786486,9553853,2947472,8233415,6414217,11141339,10066278,2935270,8340255,8536256,7116146,1015068,4571082,1193789,2634929,611093
Black_Smith,9,19155748,19475261,19622307,26609314,35591732,36253311,5209218,3623340,7831174,24355012,10151210,8176019,14195307,15415587,14500328,2886130,19776461,22403452,21211098,14768578,9484448,8756485,15600915,3809833,10112944,6689705,9266479,7155222,2482930,872381,1705892,790483
Plate,9,27658754,31062039,19613650,6438448,41671165,36663532,18618072,19683347,28212294,20576029,29966692,24360236,27904180,6012992,8265321,23859748,12643138,15146062,13428960,3084562,8078777,10548926,15605438,8915222,4605091,3046057,8108295,3513673,5427038,3672505,2273134,775867
Modernia,9,33091153,8017878,4404547,28281677,7404132,24506988,29142069,26079979,22246318,25569387,14235081,1075134,15503694,23410467,20408306,5529850,15216750,11397515,21540487,9024031,18687112,7670274,10940330,10551007,9339,3216248,1907167,4130135,203104,1736899,2394718,423677
